ROW,YEAR,species,CAPDATE,juldate,PERIOD,missing_data,BAND,sex,age,how_sexed,CAPSITE,ver_hab,USE_HAB,hematocrit,T,T_SQRT,T_Log,USE_T,CAPTIME,StdJulDep,Time2Dep,mass,fat,CAPBM,WING,tarsus,TAIL,BANDER,BLOOD_TIME,HEM,TOTAL,bs1,bs7,bs14,bs30,BR1,BR7,BR14,BR30
98,2009,AMRE,3/7/09,66,2,,255039407,M,SY,PLUM,MII,U,N,0.45,39.42,6.28,1.6,Y,720,NA,,6,0,1,59,16.67,55.5,MAT,2,31.5,70.22,0,0,101.6,109.2,0,0,0,0
160,2009,AMRE,3/1/09,60,1,,255039515,M,SY,PLUM,LI,L,Y,0.46,39.97,6.32,1.6,N,831,126,66,6.5,0,1,60,16.32,55,CMT,1,31.07,67.25,0,101.6,101.6,114.3,0,0,0,0
37,2009,AMRE,3/12/09,71,2,,255039414,F,SY,PLUM,MM,M,Y,0.48,121.46,11.02,2.08,Y,850,135,64,6.5,0,1,59.5,16.37,57,MAT,4,30.04,62.87,0,0,43.2,109.2,0,0,0,0
203,2009,AMRE,3/8/09,67,2,,255039531,F,SY,PLUM,URII,M,Y,0.48,164.29,12.82,2.22,Y,1115,NA,,6.1,2,1,56.5,16.22,54,RCD,3,30.76,64.58,0,0,101.6,109.2,0,0,0,0
190,2009,AMRE,2/26/09,57,1,,255039512,F,ASY,PLUM,LI,L,Y,0.46,168.13,12.97,2.23,Y,831,NA,,6.7,1,2,58,17.22,53.5,CMT,2,26.16,57.42,0,58.4,58.4,71.1,0,0,0,0
35,2009,AMRE,3/8/09,67,2,,255039409,F,ASY,PLUM,MII,M,Y,0.44,174.5,13.21,2.24,Y,805,126,59,6.3,0,1,58,16.45,58.5,MAT,8,8.12,18.37,0,0,101.6,109.2,0,0,0,0
218,2009,AMRE,3/13/09,72,2,,255039417,F,ASY,PLUM,MM,U,N,0.45,180.52,13.44,2.26,Y,1150,NA,,6.6,1,1,56,15.67,54.5,MAT,4,27.82,62.48,0,0,0,109.2,0,0,0,0
10,2009,AMRE,3/12/09,71,2,,255039536,F,SY,PLUM,MII,M,Y,0.46,187.45,13.69,2.27,Y,1153,NA,,6.5,0,1,68.5,17.54,53,CMT,2,30.77,66.74,0,0,43.2,109.2,0,0,0,0
18,2009,AMRE,2/28/09,59,1,,255040111,M,ASY,PLUM,MM,E,Y,0.45,204.68,14.31,2.31,Y,904,NA,,7.8,1,2,64,17.67,60,CMT,3,28.7,64.34,43.2,101.6,101.6,114.3,0,0,0,0
213,2009,AMRE,3/9/09,68,2,,241079035,F,ASY,PLUM,LII,U,N,0.48,208.98,14.46,2.32,Y,1033,NA,,6.9,1,1,57.5,16.25,53.5,MAT,1,31.96,66.73,0,0,101.6,109.2,0,0,0,0
56,2009,AMRE,3/12/09,71,2,,253012267,M,ASY,PLUM,MM,M,Y,0.47,217.97,14.76,2.34,Y,931,123,52,7.1,0,1,62.5,16.86,52,MAT,4,31.22,66.88,0,0,43.2,109.2,0,0,0,0
150,2009,AMRE,3/8/09,67,2,,255039410,F,SY,PLUM,MII,M,Y,0.43,221.35,14.88,2.35,Y,910,NA,,6.3,2,1,57,16.59,55,MAT,4,30.1,69.43,0,0,101.6,109.2,0,0,0,0
51,2009,AMRE,3/12/09,71,2,,255039412,F,SY,PLUM,MM,M,Y,0.45,225.4,15.01,2.35,Y,635,NA,,6.6,0,1,58.5,15.87,57,MAT,6,25.05,55.13,0,0,43.2,109.2,0,0,0,0
73,2009,AMRE,3/8/09,67,2,,255039408,M,SY,PLUM,MII,F,N,0.45,256.4,16.01,2.41,Y,655,NA,,6.4,0,1,59,16.42,58.5,MAT,2,31.34,68.98,0,0,101.6,109.2,0,0,0,0
227,2009,AMRE,3/7/09,66,2,,255039522,M,SY,PLUM,LIIT,L,Y,0.51,353.38,18.8,2.55,Y,714,NA,,6.4,0,1,59,16.1,54,CMT,5,30.53,60.27,0,0,101.6,109.2,0,0,0,0
